drug	gene	risk_association	paired_tstat	p
AM095	ABLIM1	High_risk	-1.064032974	0.194161168
AM095	ACTR2	High_risk	-0.363701011	0.550089982
AM095	ADD3	High_risk	0.014891245	0.983803239
AM095	AEBP1	High_risk	1.731776191	0.00679864
AM095	AKAP13	High_risk	0.795243445	0.276544691
AM095	ANXA1	High_risk	-0.23852396	0.693261348
AM095	ANXA3	High_risk	-0.429213846	0.546490702
AM095	AP1B1	High_risk	-0.227030102	0.787842432
AM095	ATP4B	High_risk	-0.948282255	0.210357928
AM095	BCL2	High_risk	-0.713390603	0.373725255
AM095	CCDC6	High_risk	0.283418912	0.690661868
AM095	CCL19	High_risk	-1.221973505	0.00419916
AM095	CCL21	High_risk	-0.86395234	0.118776245
AM095	CD48	High_risk	-1.456383554	0.056588682
AM095	CHERP	High_risk	-0.677398536	0.461107778
AM095	CHSY1	High_risk	0.19418121	0.763447311
AM095	COL16A1	High_risk	-0.25104862	0.705458908
AM095	COL4A1	High_risk	-0.833463197	0.158968206
AM095	COL6A3	High_risk	-0.706472403	0.26134773
AM095	CPA3	High_risk	1.126801259	0.066986603
AM095	CTNND2	High_risk	-0.238586582	0.725654869
AM095	CXCR4	High_risk	-1.801067023	0.00439912
AM095	DAB2	High_risk	-0.730099281	0.217156569
AM095	DDR1	High_risk	0.164446942	0.778844231
AM095	DUSP5	High_risk	-1.035389049	0.093981204
AM095	EDG4	High_risk	2.337900296	0.00019996
AM095	EGF	High_risk	-0.13447389	0.862627475
AM095	ELOVL2	High_risk	0.116184376	0.861227754
AM095	EMP2	High_risk	0.238357168	0.730253949
AM095	EPHA4	High_risk	0.247362564	0.681863627
AM095	EPM2AIP1	High_risk	-0.030467645	0.935612877
AM095	FBN1	High_risk	1.174912277	0.042391522
AM095	FILIP1L	High_risk	0.862383376	0.24775045
AM095	FMO1	High_risk	-0.782055999	0.268546291
AM095	FSHB	High_risk	-0.854428822	0.281543691
AM095	GBA	High_risk	-1.250307555	0.014597081
AM095	GPX2	High_risk	-0.237620582	0.709658068
AM095	HDAC9	High_risk	-0.535227668	0.466906619
AM095	HMG20B	High_risk	0.237834754	0.74385123
AM095	ICK	High_risk	-0.294976924	0.690061988
AM095	IER3	High_risk	-0.201574772	0.655668866
AM095	IFI30	High_risk	-1.278263682	0.013797241
AM095	IGFBP6	High_risk	-1.119344923	0.074385123
AM095	IQGAP1	High_risk	-0.697331065	0.368326335
AM095	ITGA9	High_risk	1.328458833	0.038392322
AM095	KRT7	High_risk	-1.013649953	0.053789242
AM095	LOXL2	High_risk	-0.427292399	0.604079184
AM095	LPP	High_risk	0.625439367	0.325534893
AM095	MMP7	High_risk	0.173984701	0.787042591
AM095	NCAPH	High_risk	0.139473905	0.800839832
AM095	NFKB2	High_risk	0.209267761	0.794841032
AM095	NOL7	High_risk	-0.974380486	0.143371326
AM095	NOS2A	High_risk	-0.495022118	0.287542492
AM095	NTS	High_risk	-0.724830901	0.296140772
AM095	PODXL	High_risk	-0.554721403	0.24915017
AM095	PRKG2	High_risk	0.165547085	0.825034993
AM095	PSMB9	High_risk	-1.093194206	0.124775045
AM095	RBM34	High_risk	-0.891843131	0.133373325
AM095	RNASE1	High_risk	0.637916085	0.25394921
AM095	SERPINB2	High_risk	-0.124011506	0.831233753
AM095	SERPINB8	High_risk	-0.120766379	0.878624275
AM095	SH3GL2	High_risk	-0.168431781	0.793841232
AM095	SLC12A2	High_risk	-1.567701012	0.00479904
AM095	SLC7A1	High_risk	-2.106680666	0.00659868
AM095	SLIT3	High_risk	1.366518791	0.050189962
AM095	SP100	High_risk	0.738311506	0.167366527
AM095	TCF4	High_risk	0.168736768	0.816236753
AM095	TEAD4	High_risk	-0.867692715	0.304939012
AM095	TGFB1I1	High_risk	0.595930327	0.327934413
AM095	TNK2	High_risk	0.476293401	0.528294341
AM095	TRIO	High_risk	-0.046432061	0.938212358
AM095	TSC22D2	High_risk	-0.315472852	0.482103579
AM095	WIPF1	High_risk	-1.25022453	0.170165967
AM095	AARS	Low_risk	1.421860253	0.00039992
AM095	ACOT2	Low_risk	-0.019224691	0.972005599
AM095	ACSM3	Low_risk	-0.542003295	0.24715057
AM095	ADH5	Low_risk	-1.144266957	0.045390922
AM095	ADH6	Low_risk	0.853852775	0.069186163
AM095	ADRA2B	Low_risk	-0.098752528	0.856428714
AM095	AKR1A1	Low_risk	-0.097562919	0.872625475
AM095	AKR1D1	Low_risk	0.550849173	0.312137572
AM095	ALAS1	Low_risk	-1.168515699	0.090581884
AM095	ALDH9A1	Low_risk	-0.69836188	0.26234753
AM095	ANKRD46	Low_risk	-0.093192569	0.869826035
AM095	AOX1	Low_risk	0.584383915	0.23795241
AM095	AR	Low_risk	0.679984401	0.435912817
AM095	ARF4	Low_risk	-1.323194898	0.051589682
AM095	ART1	Low_risk	-0.950926391	0.298940212
AM095	ASAHL	Low_risk	-0.302459185	0.627074585
AM095	ATP2C1	Low_risk	0.718566115	0.236952609
AM095	ATP5D	Low_risk	-0.022192831	0.977004599
AM095	ATP6AP2	Low_risk	-0.298292648	0.718656269
AM095	BAIAP2	Low_risk	1.530556534	0.021595681
AM095	BRP44	Low_risk	-0.539903348	0.457508498
AM095	C4BPB	Low_risk	-1.442486553	0.00139972
AM095	C5	Low_risk	-0.466159267	0.478504299
AM095	C8B	Low_risk	-0.640944542	0.401119776
AM095	C9	Low_risk	-0.336767627	0.613477305
AM095	CALCR	Low_risk	-0.215804316	0.75184963
AM095	CCT8	Low_risk	-0.701170801	0.224155169
AM095	CPN1	Low_risk	-0.016693081	0.967006599
AM095	CPOX	Low_risk	1.072199225	0.084983003
AM095	CREB1	Low_risk	-0.295926194	0.722655469
AM095	CTBS	Low_risk	0.840722556	0.127174565
AM095	CUTL2	Low_risk	0.625928207	0.350729854
AM095	CYB5A	Low_risk	-0.056505505	0.917016597
AM095	CYP2B6	Low_risk	-0.95508628	0.074785043
AM095	DAD1	Low_risk	-1.831808876	0.00659868
AM095	DLGAP4	Low_risk	-1.056145631	0.164567087
AM095	DOCK4	Low_risk	-0.106491442	0.848030394
AM095	DST	Low_risk	-0.006199457	0.963407319
AM095	EIF2B1	Low_risk	1.016137711	0.147570486
AM095	EMD	Low_risk	-0.370758946	0.476304739
AM095	ERCC5	Low_risk	0.283140024	0.598880224
AM095	F9	Low_risk	0.031183085	0.945210958
AM095	FAM129A	Low_risk	-0.136354196	0.801839632
AM095	GCGR	Low_risk	-0.582284928	0.221155769
AM095	GCKR	Low_risk	0.280522919	0.448510298
AM095	GGCX	Low_risk	0.813601843	0.197360528
AM095	GHR	Low_risk	0.835774933	0.074785043
AM095	GJB1	Low_risk	-0.081910651	0.877024595
AM095	GRK4	Low_risk	-0.649407976	0.420515897
AM095	GRM5	Low_risk	0.712905092	0.267746451
AM095	GSTM1	Low_risk	1.481072629	0.01239752
AM095	HAAO	Low_risk	-0.436380408	0.415716857
AM095	HABP2	Low_risk	0.153042468	0.819436113
AM095	HMGCL	Low_risk	0.179926316	0.796840632
AM095	HMGCR	Low_risk	-0.393542387	0.478704259
AM095	HRASLS3	Low_risk	0.442915335	0.648870226
AM095	HSPE1	Low_risk	-0.993123354	0.113177365
AM095	IGF1	Low_risk	-0.296894351	0.636672665
AM095	IMPA1	Low_risk	-1.313699836	0.033793241
AM095	INSM1	Low_risk	1.627116824	0.00039992
AM095	KCNJ3	Low_risk	-0.602089906	0.407718456
AM095	LIPC	Low_risk	-0.523154664	0.454909018
AM095	MGC29506	Low_risk	1.723515707	0.0009998
AM095	MSH6	Low_risk	-1.106935689	0.057788442
AM095	NARS2	Low_risk	0.522754984	0.414517097
AM095	NENF	Low_risk	-0.171842137	0.863827235
AM095	PCK1	Low_risk	-0.024572923	0.961007798
AM095	PCYT2	Low_risk	0.798195522	0.229154169
AM095	PFKFB1	Low_risk	-0.500313751	0.337732454
AM095	PIGK	Low_risk	-0.500007296	0.51089782
AM095	PKLR	Low_risk	0.023951039	0.956208758
AM095	PLCB3	Low_risk	-0.50366142	0.461307738
AM095	PLCG2	Low_risk	1.112292089	0.169366127
AM095	PLG	Low_risk	-0.292831999	0.662467506
AM095	PMM1	Low_risk	1.033385945	0.077584483
AM095	POLRMT	Low_risk	0.1088331	0.860027994
